AÑO,CVE_GEO,ENTIDAD,HOMBRES,MUJERES,POBLACION,PIRAMIDE,CUM_DIFF,DELITOS,TOTAL_DELITOS,PERCEPCION,TASA_DELICTIVA,KPI_IIC,KPI_IIC_Color
2022,26,Sonora,1523857,1511939,3035796,"{'HOMBRES': [114401, 127516, 136500, 137185, 137354, 131342, 119626, 104378, 92708, 92293, 84761, 73038, 58749, 42944, 29531, 20218, 12165, 9148], 'MUJERES': [109893, 122413, 130327, 130794, 129581, 123407, 114391, 105569, 99571, 97190, 86676, 74418, 60796, 45556, 32363, 23066, 14482, 11446], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.067099,"{'Homicidios': 1240, 'Lesiones': 1681, 'Feminicidio': 26, 'Secuestros': 7, 'Violación': 204, 'Robo a casa': 704, 'Robo a vehículo': 2004, 'Robo a negocio': 453, 'Extorsión': 46, 'Violencia familiar': 5288, 'Narcomenudeo': 1914}",13567,79.6,446.9,38.0,2
2022,27,Tabasco,1195077,1248127,2443204,"{'HOMBRES': [103878, 114750, 118110, 110246, 101876, 95137, 90706, 82165, 71851, 68466, 61905, 53300, 41987, 29875, 20360, 13986, 8660, 7819], 'MUJERES': [100132, 110041, 113079, 107895, 102714, 99348, 98174, 94595, 87369, 80287, 68057, 56051, 43702, 31685, 21942, 15202, 9513, 8341], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.076887,"{'Homicidios': 249, 'Lesiones': 3266, 'Feminicidio': 14, 'Secuestros': 10, 'Violación': 309, 'Robo a casa': 1046, 'Robo a vehículo': 1949, 'Robo a negocio': 813, 'Extorsión': 106, 'Violencia familiar': 6289, 'Narcomenudeo': 35}",14086,85.0,576.5,38.2,2
2022,28,Tamaulipas,1796718,1839315,3636033,"{'HOMBRES': [140679, 153765, 161299, 158657, 156198, 149835, 139526, 124059, 110857, 110605, 102223, 87138, 67867, 48435, 33753, 23948, 15177, 12697], 'MUJERES': [135577, 147791, 154549, 153736, 151921, 146333, 139435, 132239, 125972, 122763, 108973, 91555, 72164, 53287, 38775, 28866, 18983, 16396], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.067976,"{'Homicidios': 332, 'Lesiones': 1862, 'Feminicidio': 16, 'Secuestros': 15, 'Violación': 484, 'Robo a casa': 1190, 'Robo a vehículo': 1708, 'Robo a negocio': 1254, 'Extorsión': 89, 'Violencia familiar': 6744, 'Narcomenudeo': 127}",13821,78.1,380.1,28.0,2
2022,29,Tlaxcala,671378,714647,1386025,"{'HOMBRES': [62251, 61734, 64672, 64261, 63343, 59056, 52021, 44072, 38057, 36540, 32623, 27559, 21577, 15483, 10779, 7678, 4925, 4747], 'MUJERES': [60099, 59369, 62264, 62703, 62375, 59481, 55675, 52062, 48328, 45239, 38800, 31953, 24791, 17966, 12722, 9173, 5991, 5656], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.080768,"{'Homicidios': 109, 'Lesiones': 98, 'Feminicidio': 2, 'Secuestros': 4, 'Violación': 12, 'Robo a casa': 310, 'Robo a vehículo': 1496, 'Robo a negocio': 240, 'Extorsión': 5, 'Violencia familiar': 207, 'Narcomenudeo': 128}",2611,60.2,188.4,22.8,1
2022,30,Veracruz,3913504,4220003,8133507,"{'HOMBRES': [299850, 336508, 363454, 350272, 327230, 302801, 283199, 253410, 224821, 227129, 219515, 198282, 163399, 124712, 92225, 67224, 42504, 36969], 'MUJERES': [289372, 323871, 349582, 343942, 331921, 321620, 315108, 301226, 284235, 278536, 254969, 222427, 182051, 140856, 105750, 78530, 51281, 44726], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.0624,"{'Homicidios': 721, 'Lesiones': 5876, 'Feminicidio': 52, 'Secuestros': 27, 'Violación': 390, 'Robo a casa': 2298, 'Robo a vehículo': 4382, 'Robo a negocio': 4157, 'Extorsión': 700, 'Violencia familiar': 9836, 'Narcomenudeo': 1446}",29885,80.2,367.4,28.9,2
2022,31,Yucatán,1183806,1220357,2404163,"{'HOMBRES': [91806, 98259, 101552, 102649, 107350, 107703, 100241, 86021, 73075, 68739, 60173, 50710, 41615, 32622, 24373, 17407, 10633, 8878], 'MUJERES': [88420, 94632, 98565, 100516, 104446, 104717, 100212, 92290, 84192, 78283, 66884, 55862, 45948, 36242, 27248, 19686, 12177, 10037], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.067097,"{'Homicidios': 32, 'Lesiones': 170, 'Feminicidio': 5, 'Secuestros': 0, 'Violación': 42, 'Robo a casa': 134, 'Robo a vehículo': 100, 'Robo a negocio': 67, 'Extorsión': 10, 'Violencia familiar': 104, 'Narcomenudeo': 225}",889,30.6,37.0,3.4,1
2022,32,Zacatecas,811081,848764,1659845,"{'HOMBRES': [78877, 80349, 80455, 75073, 69534, 63564, 57632, 50085, 43957, 43767, 40555, 34799, 27612, 20737, 15776, 12176, 8200, 7933], 'MUJERES': [76172, 77696, 78026, 74398, 70922, 66973, 62679, 57278, 52402, 50122, 44570, 37794, 29937, 22429, 16971, 13176, 8965, 8254], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.08366,"{'Homicidios': 840, 'Lesiones': 1371, 'Feminicidio': 12, 'Secuestros': 6, 'Violación': 136, 'Robo a casa': 370, 'Robo a vehículo': 1556, 'Robo a negocio': 232, 'Extorsión': 379, 'Violencia familiar': 2901, 'Narcomenudeo': 266}",8069,90.9,486.1,42.3,2
2023,0,República Mexicana,63849172,66706484,130555656,"{'HOMBRES': [5302794, 5480803, 5755183, 5699745, 5656809, 5456502, 5128604, 4461141, 3794214, 3639280, 3382531, 2910303, 2341387, 1741021, 1225427, 869740, 541763, 461925], 'MUJERES': [5111446, 5281378, 5548855, 5565159, 5589713, 5462331, 5269345, 4853878, 4452137, 4239229, 3801484, 3222708, 2611480, 1980902, 1425582, 1037149, 668625, 585083], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.071749,"{'Homicidios': 15155, 'Lesiones': 99460, 'Feminicidio': 466, 'Secuestros': 266, 'Violación': 9410, 'Robo a casa': 32735, 'Robo a vehículo': 79331, 'Robo a negocio': 45288, 'Extorsión': 6299, 'Violencia familiar': 172804, 'Narcomenudeo': 52375}",513589,74.6,393.4,30.0,2
2023,1,Aguascalientes,735611,765470,1501081,"{'HOMBRES': [65391, 68798, 70054, 68797, 69140, 66164, 60087, 50279, 41627, 39124, 35650, 30136, 23817, 17346, 11966, 8286, 4942, 4007], 'MUJERES': [63053, 66120, 67436, 66930, 67927, 65621, 60974, 54275, 48960, 46188, 40948, 34170, 27061, 20025, 14144, 10063, 6250, 5325], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.079351,"{'Homicidios': 44, 'Lesiones': 2131, 'Feminicidio': 1, 'Secuestros': 0, 'Violación': 151, 'Robo a casa': 1383, 'Robo a vehículo': 887, 'Robo a negocio': 1274, 'Extorsión': 55, 'Violencia familiar': 1856, 'Narcomenudeo': 1218}",9000,49.7,599.6,47.3,2
2023,2,Baja California,2016790,1962723,3979513,"{'HOMBRES': [141621, 154125, 166007, 172125, 184961, 190130, 180928, 155458, 132294, 128121, 118146, 97143, 72251, 49267, 32059, 21129, 12119, 8906], 'MUJERES': [135614, 147552, 158071, 163643, 173579, 175856, 168319, 151522, 137728, 130561, 114745, 93320, 72116, 52388, 36076, 24928, 15063, 11642], 'GRUPO': ['0 a 4', '5 a 9', '10 a 14', '15 a 19', '20 a 24', '25 a 29', '30 a 34', '35 a 39', '40 a 44', '45 a 49', '50 a 54', '55 a 59', '60 a 64', '65 a 69', '70 a 74', '75 a 79', '80 a 84', '85 y más']}",0.064502,"{'Homicidios': 1281, 'Lesiones': 3648, 'Feminicidio': 13, 'Secuestros': 5, 'Violación': 425, 'Robo a casa': 1879, 'Robo a vehículo': 6687, 'Robo a negocio': 2611, 'Extorsión': 61, 'Violencia familiar': 8947, 'Narcomenudeo': 5949}",31506,68.5,791.7,68.7,3
